Country,Commodity,Export_Value,Rank
Argentina,c001,242341.0,1
India,c001,768.0,2
Viet Nam,c001,318.0,3
Thailand,c001,286.0,4
Pakistan,c001,206.0,5
United States of America,c001,126.0,6
"China, mainland",c001,124.0,7
Myanmar,c001,99.0,8
Brazil,c001,57.0,9
Uruguay,c001,49.0,10
Paraguay,c001,41.0,11
Cambodia,c001,38.0,12
Italy,c001,34.0,13
Guyana,c001,30.0,14
United Republic of Tanzania,c001,19.0,15
Spain,c001,11.0,16
"China, Taiwan Province of",c001,11.0,17
Turkey,c001,8.0,18
Kazakhstan,c001,6.0,19
Lao People's Democratic Republic,c001,6.0,20
Argentina,c002,1183633.0,1
Russian Federation,c002,327.0,2
Canada,c002,222.0,3
United States of America,c002,207.0,4
France,c002,175.0,5
Ukraine,c002,146.0,6
Australia,c002,88.0,7
Germany,c002,86.0,8
Kazakhstan,c002,58.0,9
Poland,c002,46.0,10
Lithuania,c002,35.0,11
Bulgaria,c002,29.0,12
Romania,c002,29.0,13
Hungary,c002,28.0,14
Turkey,c002,28.0,15
Czech Republic,c002,22.0,16
Latvia,c002,20.0,17
Italy,c002,18.0,18
India,c002,12.0,19
United Kingdom,c002,12.0,20
Argentina,c003,684223.0,1
France,c003,860.0,2
Russian Federation,c003,544.0,3
Australia,c003,540.0,4
Ukraine,c003,474.0,5
Canada,c003,362.0,6
Germany,c003,310.0,7
United Kingdom,c003,187.0,8
Kazakhstan,c003,102.0,9
Denmark,c003,96.0,10
Hungary,c003,89.0,11
Romania,c003,80.0,12
Czech Republic,c003,62.0,13
United States of America,c003,60.0,14
Sweden,c003,59.0,15
Uruguay,c003,54.0,16
Lithuania,c003,45.0,17
Slovakia,c003,39.0,18
Poland,c003,36.0,19
Belgium,c003,36.0,20
Argentina,c004,18428480.0,1
United States of America,c004,1086.0,2
Brazil,c004,712.0,3
Ukraine,c004,450.0,4
Romania,c004,105.0,5
France,c004,90.0,6
Hungary,c004,82.0,7
Serbia,c004,76.0,8
South Africa,c004,69.0,9
Bulgaria,c004,53.0,10
India,c004,49.0,11
Russian Federation,c004,48.0,12
Paraguay,c004,43.0,13
Poland,c004,30.0,14
Croatia,c004,24.0,15
Canada,c004,23.0,16
"China, mainland",c004,22.0,17
Myanmar,c004,19.0,18
Slovakia,c004,11.0,19
Turkey,c004,10.0,20
Argentina,c005,220999.0,1
Argentina,c006,550054.0,1
Canada,c006,2869.0,2
Finland,c006,521.0,3
Australia,c006,435.0,4
Chile,c006,353.0,5
United Kingdom,c006,220.0,6
Sweden,c006,211.0,7
Poland,c006,177.0,8
Germany,c006,176.0,9
Latvia,c006,158.0,10
Russian Federation,c006,144.0,11
Lithuania,c006,110.0,12
Estonia,c006,80.0,13
France,c006,73.0,14
Spain,c006,64.0,15
Denmark,c006,53.0,16
Czech Republic,c006,45.0,17
United States of America,c006,40.0,18
Ukraine,c006,36.0,19
Bulgaria,c006,31.0,20
Argentina,c007,999.0,1
Argentina,c008,1377001.0,1
Argentina,c009,64377.0,1
Poland,c009,5630.0,2
Canada,c009,1636.0,3
Germany,c009,1253.0,4
Lithuania,c009,1036.0,5
Thailand,c009,932.0,6
Russian Federation,c009,789.0,7
Turkey,c009,768.0,8
France,c009,744.0,9
Spain,c009,443.0,10
Czech Republic,c009,437.0,11
Belgium,c009,345.0,12
United States of America,c009,341.0,13
Denmark,c009,291.0,14
Peru,c009,254.0,15
Italy,c009,213.0,16
Austria,c009,212.0,17
Bolivia (Plurinational State of),c009,189.0,18
Bulgaria,c009,181.0,19
Kazakhstan,c009,172.0,20
Argentina,c010,394984.0,1
Netherlands,c010,596.0,2
Germany,c010,579.0,3
United States of America,c010,425.0,4
Belgium,c010,399.0,5
France,c010,367.0,6
Canada,c010,285.0,7
Poland,c010,146.0,8
Egypt,c010,86.0,9
"China, mainland",c010,77.0,10
India,c010,59.0,11
Pakistan,c010,52.0,12
Belarus,c010,50.0,13
United Kingdom,c010,41.0,14
Denmark,c010,40.0,15
Spain,c010,32.0,16
South Africa,c010,27.0,17
Turkey,c010,27.0,18
Iran (Islamic Republic of),c010,18.0,19
Israel,c010,17.0,20
Argentina,c011,149216.0,1
Thailand,c011,36256.0,2
Viet Nam,c011,17360.0,3
Lao People's Democratic Republic,c011,3633.0,4
Indonesia,c011,849.0,5
Cambodia,c011,567.0,6
Brazil,c011,261.0,7
Paraguay,c011,233.0,8
Costa Rica,c011,150.0,9
United Republic of Tanzania,c011,81.0,10
India,c011,69.0,11
Nicaragua,c011,69.0,12
Uganda,c011,56.0,13
Sri Lanka,c011,43.0,14
Peru,c011,42.0,15
Ghana,c011,28.0,16
Nigeria,c011,28.0,17
"China, mainland",c011,24.0,18
Cameroon,c011,20.0,19
Rwanda,c011,20.0,20
Argentina,c012,9775.0,1
United States of America,c012,98.0,2
Egypt,c012,27.0,3
Lao People's Democratic Republic,c012,17.0,4
Spain,c012,17.0,5
Viet Nam,c012,17.0,6
"China, mainland",c012,9.0,7
Portugal,c012,6.0,8
Honduras,c012,5.0,9
Brazil,c012,4.0,10
Indonesia,c012,4.0,11
Peru,c012,4.0,12
Dominican Republic,c012,3.0,13
South Africa,c012,3.0,14
Japan,c012,2.0,15
Mali,c012,2.0,16
Mexico,c012,2.0,17
Israel,c012,1.0,18
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Argentina,c015,17500000.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Argentina,c017,52918.0,1
Myanmar,c017,29.0,2
United States of America,c017,10.0,3
Canada,c017,9.0,4
"China, mainland",c017,6.0,5
Brazil,c017,4.0,6
Ethiopia,c017,4.0,7
Kyrgyzstan,c017,2.0,8
Nicaragua,c017,2.0,9
Australia,c017,1.0,10
Egypt,c017,1.0,11
India,c017,1.0,12
Indonesia,c017,1.0,13
Madagascar,c017,1.0,14
Mozambique,c017,1.0,15
United Republic of Tanzania,c017,1.0,16
Turkey,c017,1.0,17
Uganda,c017,1.0,18
Argentina,c018,15000.0,1
Argentina,c019,13575.0,1
Canada,c019,178.0,2
Australia,c019,78.0,3
United States of America,c019,29.0,4
India,c019,20.0,5
Turkey,c019,20.0,6
Russian Federation,c019,18.0,7
United Republic of Tanzania,c019,17.0,8
Lithuania,c019,7.0,9
Latvia,c019,4.0,10
Mexico,c019,4.0,11
"China, mainland",c019,3.0,12
France,c019,3.0,13
Germany,c019,3.0,14
Kazakhstan,c019,3.0,15
United Kingdom,c019,3.0,16
Ethiopia,c019,3.0,17
Kenya,c019,2.0,18
Poland,c019,2.0,19
Myanmar,c019,1.0,20
Argentina,c020,631.0,1
United States of America,c020,78.0,2
Côte d'Ivoire,c020,47.0,3
Turkey,c020,30.0,4
Viet Nam,c020,23.0,5
United Republic of Tanzania,c020,20.0,6
"China, mainland",c020,17.0,7
Spain,c020,17.0,8
Chile,c020,11.0,9
India,c020,11.0,10
Indonesia,c020,10.0,11
Australia,c020,9.0,12
Iran (Islamic Republic of),c020,8.0,13
Mexico,c020,8.0,14
Nigeria,c020,7.0,15
Ghana,c020,6.0,16
Guinea-Bissau,c020,6.0,17
Myanmar,c020,5.0,18
Benin,c020,5.0,19
Italy,c020,5.0,20
Argentina,c021,37909193.0,1
Brazil,c021,1725851.0,2
United States of America,c021,1541862.0,3
Paraguay,c021,170852.0,4
Canada,c021,108996.0,5
Uruguay,c021,46407.0,6
Ukraine,c021,35124.0,7
Russian Federation,c021,21348.0,8
Croatia,c021,6552.0,9
Serbia,c021,6459.0,10
Romania,c021,2439.0,11
Slovakia,c021,2133.0,12
France,c021,1980.0,13
India,c021,1861.0,14
Ethiopia,c021,1755.0,15
Austria,c021,1594.0,16
Hungary,c021,1346.0,17
"China, mainland",c021,1272.0,18
Kazakhstan,c021,1021.0,19
Mozambique,c021,933.0,20
Argentina,c022,280823.0,1
India,c022,42.0,2
United States of America,c022,32.0,3
"China, mainland",c022,27.0,4
Sudan,c022,18.0,5
Brazil,c022,16.0,6
Senegal,c022,16.0,7
Myanmar,c022,4.0,8
Nicaragua,c022,4.0,9
Malawi,c022,3.0,10
Benin,c022,2.0,11
Egypt,c022,2.0,12
United Republic of Tanzania,c022,2.0,13
Viet Nam,c022,2.0,14
Madagascar,c022,1.0,15
Argentina,c023,2796999.0,1
Argentina,c024,24920.0,1
Canada,c024,613.0,2
Ukraine,c024,114.0,3
Australia,c024,85.0,4
Russian Federation,c024,36.0,5
Hungary,c024,34.0,6
Lithuania,c024,32.0,7
Romania,c024,25.0,8
Latvia,c024,19.0,9
Poland,c024,19.0,10
Czech Republic,c024,14.0,11
France,c024,9.0,12
Slovakia,c024,9.0,13
Bulgaria,c024,7.0,14
United States of America,c024,7.0,15
Belgium,c024,7.0,16
United Kingdom,c024,4.0,17
Estonia,c024,2.0,18
Germany,c024,2.0,19
Croatia,c024,2.0,20
Argentina,c025,1046043.0,1
Indonesia,c026,9943665.0,1
Philippines,c026,7215750.0,2
India,c026,4687828.0,3
Viet Nam,c026,1317864.0,4
Mexico,c026,1042920.0,5
Sri Lanka,c026,673050.0,6
Papua New Guinea,c026,419732.0,7
Brazil,c026,344537.0,8
Malaysia,c026,312948.0,9
Thailand,c026,256634.0,10
Vanuatu,c026,227214.0,11
United Republic of Tanzania,c026,173973.0,12
Ghana,c026,173315.0,13
Venezuela (Bolivarian Republic of),c026,164165.0,14
RoW,c026,151722.0,15
