Country,Commodity,Export_Value,Rank
Egypt,c001,436040.0,1
India,c001,12289.0,2
Viet Nam,c001,5092.0,3
Thailand,c001,4578.0,4
Pakistan,c001,3296.0,5
United States of America,c001,2016.0,6
"China, mainland",c001,1992.0,7
Myanmar,c001,1575.0,8
Brazil,c001,917.0,9
Uruguay,c001,776.0,10
Paraguay,c001,665.0,11
Cambodia,c001,613.0,12
Italy,c001,529.0,13
Guyana,c001,494.0,14
United Republic of Tanzania,c001,295.0,15
Argentina,c001,275.0,16
Spain,c001,177.0,17
"China, Taiwan Province of",c001,172.0,18
Turkey,c001,120.0,19
Kazakhstan,c001,101.0,20
Egypt,c002,2014231.0,1
Russian Federation,c002,304551.0,2
Canada,c002,208461.0,3
United States of America,c002,193774.0,4
France,c002,162645.0,5
Ukraine,c002,137290.0,6
Argentina,c002,88979.0,7
Australia,c002,80804.0,8
Germany,c002,80000.0,9
Kazakhstan,c002,54077.0,10
Poland,c002,42872.0,11
Lithuania,c002,32970.0,12
Romania,c002,27473.0,13
Bulgaria,c002,26784.0,14
Hungary,c002,25850.0,15
Turkey,c002,25547.0,16
Czech Republic,c002,21380.0,17
Latvia,c002,19683.0,18
Italy,c002,17407.0,19
India,c002,12166.0,20
Egypt,c003,85494.0,1
France,c003,1036.0,2
Russian Federation,c003,658.0,3
Australia,c003,653.0,4
Ukraine,c003,573.0,5
Canada,c003,438.0,6
Germany,c003,373.0,7
Argentina,c003,359.0,8
United Kingdom,c003,226.0,9
Kazakhstan,c003,123.0,10
Denmark,c003,117.0,11
Hungary,c003,106.0,12
Romania,c003,96.0,13
Czech Republic,c003,74.0,14
United States of America,c003,71.0,15
Sweden,c003,70.0,16
Uruguay,c003,64.0,17
Lithuania,c003,55.0,18
Slovakia,c003,45.0,19
Poland,c003,43.0,20
Egypt,c004,4320767.0,1
United States of America,c004,1415288.0,2
Argentina,c004,992552.0,3
Brazil,c004,925850.0,4
Ukraine,c004,586293.0,5
Romania,c004,135179.0,6
France,c004,117228.0,7
Hungary,c004,109082.0,8
Serbia,c004,99447.0,9
South Africa,c004,90861.0,10
Bulgaria,c004,69571.0,11
India,c004,64239.0,12
Russian Federation,c004,62450.0,13
Paraguay,c004,56968.0,14
Poland,c004,39636.0,15
Croatia,c004,31333.0,16
Canada,c004,30254.0,17
"China, mainland",c004,26985.0,18
Myanmar,c004,25124.0,19
Slovakia,c004,15783.0,20
Egypt,c005,27983.0,1
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Egypt,c008,400915.0,1
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
